ID,Start time,Completion time,Email,Name,"Do you work, or have you worked, in healthcare?
For example in a hospital or care centre","In your work, how often are you involved in high-stakes decision making?

By ""high-stakes decision making"" we mean making decisions that are highly impactful.
High  stakes decisions occur in many ...","How experienced are you with AI?

1: I haven't worked with AI, or don't know if I've worked with AI

5: I have used AI tools, but don't know how they work

10: I have researched or developed AI, o...","How much, on a scale of 1 to 10, do you trust the diagnosis of Dr Medicine?","How much, on a scale of 1 to 10, do you trust the diagnosis of Dr Medicine when working with HawkAI?","How much, on a scale of 1 to 10, would you trust the diagnosis of Dr Medicine when working with HouseAI?","How much, on a scale of 1 to 10, would you trust the diagnosis of the AI tool HouseAI when working by itself?"
9,3/14/22 12:59:04,3/14/22 13:01:26,anonymous,,No,7,2,10,10,7,5
10,3/14/22 13:02:18,3/14/22 13:03:56,anonymous,,No,2,1,9,10,9,7
11,3/14/22 13:01:56,3/14/22 13:05:26,anonymous,,No,6,6,8,7,8,9
12,3/14/22 13:08:48,3/14/22 13:10:34,anonymous,,Yes,9,2,8,4,2,1
13,3/14/22 13:10:14,3/14/22 13:15:56,anonymous,,No,5,7,7,8,5,1
14,3/14/22 13:20:10,3/14/22 13:23:10,anonymous,,No,5,8,8,9,9,8
15,3/14/22 13:25:41,3/14/22 13:26:26,anonymous,,No,8,2,8,9,10,9
16,3/14/22 13:25:12,3/14/22 13:27:07,anonymous,,No,1,10,8,9,9,8
17,3/14/22 13:24:29,3/14/22 13:28:10,anonymous,,No,3,5,8,8,7,7
18,3/14/22 13:26:24,3/14/22 13:28:52,anonymous,,No,1,6,9,9,9,3
19,3/14/22 13:30:35,3/14/22 13:32:42,anonymous,,No,7,6,8,8,6,6
20,3/14/22 13:42:10,3/14/22 13:43:58,anonymous,,No,1,5,7,8,9,4
21,3/14/22 13:36:15,3/14/22 13:46:32,anonymous,,No,1,1,8,8,7,5
22,3/14/22 14:03:16,3/14/22 14:08:38,anonymous,,Yes,5,6,8,9,10,7
23,3/14/22 14:09:32,3/14/22 14:11:02,anonymous,,No,2,10,9,9,8,8
24,3/14/22 14:13:26,3/14/22 14:14:19,anonymous,,No,1,1,9,9,7,4
25,3/14/22 14:15:25,3/14/22 14:18:58,anonymous,,Yes,5,1,1,1,1,10
26,3/14/22 14:17:40,3/14/22 14:21:39,anonymous,,No,7,1,8,8,8,7
27,3/14/22 14:29:57,3/14/22 14:34:49,anonymous,,No,5,2,8,8,7,7
28,3/14/22 14:34:13,3/14/22 14:35:58,anonymous,,No,7,5,8,8,8,8
29,3/14/22 15:18:45,3/14/22 15:23:28,anonymous,,Yes,5,7,8,7,6,4
30,3/14/22 15:25:17,3/14/22 15:27:00,anonymous,,No,1,6,8,9,8,8
31,3/14/22 16:15:35,3/14/22 16:16:14,anonymous,,No,1,1,10,10,7,7
32,3/14/22 16:23:24,3/14/22 16:27:38,anonymous,,Yes,1,2,9,9,5,4
33,3/14/22 16:31:10,3/14/22 16:31:31,anonymous,,Yes,10,9,9,9,9,10
34,3/14/22 16:33:17,3/14/22 16:39:08,anonymous,,Yes,5,6,8,10,9,10
35,3/14/22 16:37:54,3/14/22 16:39:57,anonymous,,Yes,5,1,10,7,3,7
36,3/14/22 16:40:13,3/14/22 16:42:45,anonymous,,Yes,5,5,9,8,7,8
37,3/14/22 16:41:44,3/14/22 16:42:50,anonymous,,Yes,6,7,7,8,7,8
38,3/14/22 16:45:58,3/14/22 16:47:40,anonymous,,Yes,5,5,10,9,9,8
39,3/14/22 16:49:24,3/14/22 16:50:47,anonymous,,No,1,1,8,7,6,7
40,3/14/22 16:59:47,3/14/22 17:01:02,anonymous,,Yes,7,6,7,9,7,8
41,3/14/22 17:08:29,3/14/22 17:09:30,anonymous,,Yes,7,8,9,7,8,6
42,3/14/22 17:08:27,3/14/22 17:09:35,anonymous,,Yes,7,8,9,7,6,6
43,3/14/22 17:18:44,3/14/22 17:20:55,anonymous,,Yes,6,7,8,7,8,8
44,3/14/22 17:03:15,3/14/22 17:25:25,anonymous,,Yes,8,6,10,10,10,10
45,3/14/22 17:03:19,3/14/22 17:25:32,anonymous,,Yes,7,8,10,10,10,9
46,3/14/22 17:30:35,3/14/22 17:33:15,anonymous,,No,5,1,10,10,10,10
47,3/14/22 18:02:51,3/14/22 18:06:54,anonymous,,No,1,1,7,8,7,5
48,3/14/22 18:01:32,3/14/22 18:09:06,anonymous,,No,1,7,6,5,7,7
49,3/14/22 18:15:09,3/14/22 18:17:06,anonymous,,No,6,6,9,8,7,7
50,3/14/22 18:15:28,3/14/22 18:18:32,anonymous,,No,5,1,8,9,9,9
51,3/14/22 18:19:53,3/14/22 18:22:24,anonymous,,No,1,2,8,7,5,6
52,3/14/22 18:23:05,3/14/22 18:26:10,anonymous,,No,1,1,9,8,8,6
53,3/14/22 18:25:07,3/14/22 18:27:38,anonymous,,No,6,4,7,7,8,7
54,3/14/22 18:31:05,3/14/22 18:34:43,anonymous,,No,5,3,8,10,10,10
55,3/14/22 18:48:01,3/14/22 18:50:26,anonymous,,No,2,1,7,6,5,4
56,3/14/22 18:47:30,3/14/22 18:50:57,anonymous,,Yes,3,1,5,7,5,2
57,3/14/22 18:50:19,3/14/22 18:55:26,anonymous,,No,1,4,9,9,7,7
58,3/14/22 18:56:57,3/14/22 19:00:57,anonymous,,No,6,1,8,8,9,7
59,3/14/22 19:29:18,3/14/22 19:31:29,anonymous,,No,1,1,8,8,9,9
60,3/14/22 19:42:53,3/14/22 19:51:02,anonymous,,No,1,1,8,8,9,9
61,3/14/22 19:51:13,3/14/22 19:54:37,anonymous,,Yes,9,1,8,8,8,8
62,3/14/22 20:23:40,3/14/22 20:27:06,anonymous,,No,7,5,7,8,8,8
63,3/14/22 20:30:52,3/14/22 20:32:43,anonymous,,Yes,10,8,8,7,6,5
64,3/14/22 20:32:14,3/14/22 20:34:28,anonymous,,No,7,6,8,7,6,7
65,3/14/22 20:59:51,3/14/22 21:04:36,anonymous,,No,2,1,8,7,9,9
66,3/14/22 21:10:26,3/14/22 21:15:18,anonymous,,No,1,1,7,7,1,8
67,3/14/22 21:39:28,3/14/22 21:42:44,anonymous,,No,1,1,7,8,9,9
68,3/14/22 21:40:19,3/14/22 21:42:58,anonymous,,No,1,1,8,7,9,9
69,3/14/22 22:16:55,3/14/22 22:20:33,anonymous,,No,7,2,8,9,10,10
70,3/14/22 22:45:29,3/14/22 22:49:06,anonymous,,No,8,6,7,7,8,8
71,3/14/22 22:59:46,3/14/22 23:02:09,anonymous,,No,5,5,8,8,9,9
72,3/14/22 23:41:26,3/14/22 23:47:31,anonymous,,No,1,1,10,10,10,8
73,3/15/22 0:34:03,3/15/22 0:38:54,anonymous,,No,6,1,8,9,9,9
74,3/15/22 0:57:12,3/15/22 1:00:11,anonymous,,No,1,1,7,8,6,2
75,3/15/22 0:56:09,3/15/22 1:20:10,anonymous,,No,5,7,8,9,6,5
76,3/15/22 4:23:34,3/15/22 4:26:06,anonymous,,No,1,3,10,9,9,9
77,3/15/22 7:55:43,3/15/22 7:56:46,anonymous,,No,9,4,8,5,7,2
78,3/15/22 8:32:00,3/15/22 8:33:42,anonymous,,Yes,5,1,7,9,7,8
79,3/15/22 9:16:21,3/15/22 9:20:22,anonymous,,No,5,4,9,9,7,6
80,3/15/22 9:29:35,3/15/22 9:30:30,anonymous,,No,1,1,7,7,8,8
81,3/15/22 9:53:31,3/15/22 9:55:28,anonymous,,Yes,1,1,10,1,1,1
82,3/15/22 10:13:10,3/15/22 10:15:47,anonymous,,No,1,1,5,1,1,1
83,3/15/22 10:13:31,3/15/22 10:18:24,anonymous,,Yes,3,1,9,5,8,2
84,3/15/22 10:28:29,3/15/22 10:30:08,anonymous,,Yes,8,1,10,10,9,8
85,3/15/22 11:28:13,3/15/22 11:30:17,anonymous,,No,1,2,8,8,4,3
86,3/15/22 11:37:08,3/15/22 11:39:39,anonymous,,Yes,1,1,8,9,9,9
87,3/15/22 12:04:21,3/15/22 12:07:05,anonymous,,No,10,7,8,8,9,9
88,3/15/22 12:48:36,3/15/22 12:52:05,anonymous,,Yes,10,4,7,7,9,8
89,3/15/22 13:30:55,3/15/22 13:33:37,anonymous,,No,1,1,8,8,7,5
90,3/15/22 15:11:31,3/15/22 15:13:29,anonymous,,Yes,4,1,8,8,9,9
91,3/15/22 16:00:16,3/15/22 16:02:04,anonymous,,No,3,1,7,8,7,6
92,3/15/22 17:05:10,3/15/22 17:33:58,anonymous,,No,1,1,9,9,9,8
93,3/15/22 18:22:30,3/15/22 18:25:40,anonymous,,No,1,5,7,7,7,7
94,3/15/22 22:07:31,3/15/22 22:10:16,anonymous,,No,10,1,8,9,9,7
95,3/16/22 0:47:09,3/16/22 0:50:04,anonymous,,No,5,5,8,8,9,9
96,3/16/22 1:32:59,3/16/22 1:34:07,anonymous,,Yes,5,7,6,6,6,5
97,3/16/22 11:06:05,3/16/22 11:07:45,anonymous,,No,3,8,8,9,6,6
98,3/16/22 11:46:02,3/16/22 11:49:37,anonymous,,No,6,6,8,10,10,10
99,3/16/22 11:52:55,3/16/22 11:55:03,anonymous,,No,2,5,7,8,7,6
100,3/16/22 11:41:53,3/16/22 11:56:08,anonymous,,No,5,10,9,10,9,8
101,3/16/22 11:55:19,3/16/22 12:00:35,anonymous,,No,2,5,8,7,7,5
102,3/16/22 12:05:54,3/16/22 12:09:49,anonymous,,No,5,2,8,9,9,8
103,3/16/22 13:05:36,3/16/22 14:17:18,anonymous,,No,2,8,8,9,7,8
104,3/16/22 14:48:41,3/16/22 14:50:21,anonymous,,Yes,7,7,7,8,7,7
105,3/16/22 15:11:01,3/16/22 15:15:19,anonymous,,No,2,7,8,9,9,8
106,3/16/22 15:54:24,3/16/22 15:58:25,anonymous,,No,1,8,9,9,10,10
107,3/16/22 19:30:22,3/16/22 19:33:06,anonymous,,No,8,6,7,7,7,8
108,3/16/22 19:50:58,3/16/22 19:54:01,anonymous,,Yes,9,5,8,8,9,9
109,3/16/22 20:40:39,3/16/22 20:43:39,anonymous,,Yes,7,2,9,10,5,8
110,3/17/22 8:30:47,3/17/22 8:37:40,anonymous,,No,3,9,9,10,9,8
111,3/17/22 10:40:41,3/17/22 10:46:58,anonymous,,Yes,7,4,7,9,8,9
112,3/17/22 10:42:52,3/17/22 10:47:22,anonymous,,No,5,6,7,8,9,7
113,3/17/22 11:54:43,3/17/22 11:58:04,anonymous,,Yes,6,1,9,7,4,5
114,3/17/22 12:06:45,3/17/22 12:07:25,anonymous,,No,5,10,8,10,6,4
115,3/17/22 12:06:50,3/17/22 12:08:33,anonymous,,No,4,10,7,4,4,2
116,3/17/22 12:07:07,3/17/22 12:09:55,anonymous,,No,6,10,9,10,6,1
117,3/17/22 12:06:16,3/17/22 12:10:30,anonymous,,Yes,5,2,8,9,7,6
118,3/17/22 12:10:59,3/17/22 12:12:00,anonymous,,No,1,10,7,1,8,8
119,3/17/22 12:02:31,3/17/22 12:22:58,anonymous,,Yes,8,6,8,9,8,8
120,3/17/22 12:39:51,3/17/22 12:43:00,anonymous,,No,1,10,10,8,8,5
121,3/17/22 14:07:08,3/17/22 14:09:22,anonymous,,No,2,10,10,10,5,1
122,3/17/22 14:07:08,3/17/22 14:12:13,anonymous,,No,1,10,8,9,8,9
123,3/17/22 14:09:53,3/17/22 14:12:25,anonymous,,No,4,9,8,10,6,5
124,3/17/22 14:11:15,3/17/22 14:14:49,anonymous,,No,2,3,10,9,5,1
125,3/17/22 14:20:19,3/17/22 14:22:27,anonymous,,No,3,8,9,9,9,9
126,3/17/22 14:27:45,3/17/22 14:30:03,anonymous,,No,1,10,9,10,10,10
127,3/17/22 14:32:03,3/17/22 14:35:43,anonymous,,No,2,10,8,8,8,7
128,3/17/22 14:49:29,3/17/22 14:53:21,anonymous,,No,2,10,8,9,8,7
129,3/17/22 14:53:46,3/17/22 14:55:59,anonymous,,No,1,8,9,9,9,7
130,3/17/22 15:57:40,3/17/22 16:00:15,anonymous,,No,6,8,8,8,7,7
131,3/17/22 16:15:32,3/17/22 16:17:07,anonymous,,No,2,10,9,10,5,5
132,3/17/22 16:19:53,3/17/22 16:21:51,anonymous,,No,4,10,8,7,6,2
133,3/17/22 16:20:08,3/17/22 16:22:44,anonymous,,No,5,10,8,9,9,9
134,3/17/22 16:20:09,3/17/22 16:22:58,anonymous,,No,2,9,8,9,7,6
135,3/17/22 16:20:32,3/17/22 16:24:04,anonymous,,No,1,10,8,10,8,7
136,3/17/22 16:22:21,3/17/22 16:24:56,anonymous,,No,5,10,7,8,8,4
137,3/17/22 16:30:25,3/17/22 16:31:37,anonymous,,No,1,9,9,9,9,8
138,3/17/22 17:08:17,3/17/22 17:11:23,anonymous,,No,2,9,9,9,9,3
139,3/17/22 17:38:42,3/17/22 17:41:07,anonymous,,Yes,10,10,8,9,9,8
140,3/17/22 17:50:17,3/17/22 17:51:16,anonymous,,No,1,9,8,9,7,7
141,3/17/22 18:10:56,3/17/22 18:15:23,anonymous,,Yes,5,10,8,9,9,1
142,3/17/22 12:16:20,3/17/22 20:08:52,anonymous,,Yes,8,10,6,5,4,3
143,3/17/22 21:57:31,3/17/22 21:59:25,anonymous,,No,1,9,9,10,4,2
144,3/18/22 0:38:06,3/18/22 0:42:04,anonymous,,No,6,10,8,8,9,9
145,3/18/22 10:38:06,3/18/22 10:39:58,anonymous,,No,5,9,10,10,9,9
146,3/21/22 9:07:24,3/21/22 9:09:14,anonymous,,Yes,8,4,10,9,7,5
147,3/22/22 15:02:01,3/22/22 15:06:12,anonymous,,Yes,6,10,7,9,8,8
148,3/23/22 20:57:14,3/23/22 20:59:24,anonymous,,No,3,9,7,9,8,6
149,3/23/22 22:57:03,3/23/22 22:58:09,anonymous,,No,1,6,9,9,9,8
150,3/24/22 10:41:20,3/24/22 10:48:40,anonymous,,Yes,5,5,7,9,8,8
151,3/24/22 11:32:23,3/24/22 11:33:50,anonymous,,Yes,9,2,8,8,3,6
152,3/24/22 11:31:07,3/24/22 11:33:56,anonymous,,Yes,5,6,8,10,8,6
153,3/24/22 11:32:39,3/24/22 11:34:41,anonymous,,Yes,6,2,8,9,9,9
154,3/24/22 11:34:19,3/24/22 11:36:37,anonymous,,Yes,8,4,8,8,2,6
155,3/24/22 11:34:35,3/24/22 11:37:08,anonymous,,Yes,5,1,9,7,4,4
156,3/24/22 11:33:54,3/24/22 11:37:09,anonymous,,Yes,6,4,8,9,8,8
157,3/24/22 11:32:04,3/24/22 11:38:21,anonymous,,Yes,1,4,10,10,10,1
158,3/24/22 11:36:35,3/24/22 11:39:08,anonymous,,Yes,8,7,8,8,9,9
159,3/24/22 11:37:03,3/24/22 11:39:48,anonymous,,Yes,5,3,8,8,9,7
160,3/24/22 11:35:12,3/24/22 11:39:52,anonymous,,Yes,5,10,8,8,6,5
161,3/24/22 11:38:00,3/24/22 11:39:54,anonymous,,Yes,7,10,8,9,6,5
162,3/24/22 11:38:26,3/24/22 11:40:24,anonymous,,Yes,5,8,8,9,8,9
163,3/24/22 11:39:40,3/24/22 11:41:09,anonymous,,Yes,6,10,8,9,9,9
164,3/24/22 11:39:18,3/24/22 11:41:33,anonymous,,Yes,7,7,9,9,9,9
165,3/24/22 11:39:20,3/24/22 11:43:16,anonymous,,Yes,5,1,7,8,8,8
166,3/24/22 11:42:51,3/24/22 11:43:36,anonymous,,Yes,6,6,5,7,7,4
167,3/24/22 11:41:04,3/24/22 11:44:07,anonymous,,Yes,7,1,8,9,7,7
168,3/24/22 11:43:44,3/24/22 11:45:49,anonymous,,Yes,10,1,8,7,5,1
169,3/24/22 11:44:09,3/24/22 11:49:43,anonymous,,Yes,7,2,8,8,6,7
170,3/24/22 11:47:49,3/24/22 11:50:10,anonymous,,Yes,10,1,8,8,9,9
171,3/24/22 11:41:53,3/24/22 11:51:34,anonymous,,Yes,6,2,7,8,8,9
172,3/24/22 11:47:45,3/24/22 11:54:12,anonymous,,Yes,8,1,8,8,9,9
173,3/24/22 11:51:04,3/24/22 11:55:59,anonymous,,Yes,8,4,7,8,8,8
174,3/24/22 12:01:38,3/24/22 12:04:13,anonymous,,Yes,7,3,8,9,9,8
175,3/24/22 12:03:45,3/24/22 12:07:00,anonymous,,Yes,5,8,8,8,9,9
176,3/24/22 12:09:34,3/24/22 12:11:33,anonymous,,Yes,5,2,9,9,6,4
177,3/24/22 12:11:55,3/24/22 12:13:13,anonymous,,Yes,10,7,8,10,5,4
178,3/24/22 12:08:59,3/24/22 12:14:36,anonymous,,Yes,6,1,8,8,5,6
179,3/24/22 12:20:25,3/24/22 12:21:57,anonymous,,Yes,5,5,8,9,9,9
180,3/24/22 12:18:54,3/24/22 12:22:27,anonymous,,Yes,4,8,8,8,8,6
181,3/24/22 12:21:10,3/24/22 12:22:28,anonymous,,Yes,5,5,8,8,9,8
182,3/24/22 12:17:57,3/24/22 12:22:39,anonymous,,Yes,3,1,9,9,9,8
183,3/24/22 12:21:23,3/24/22 12:24:03,anonymous,,Yes,3,3,9,9,7,6
184,3/24/22 12:29:03,3/24/22 12:30:10,anonymous,,Yes,7,5,10,9,5,2
185,3/24/22 12:27:18,3/24/22 12:30:52,anonymous,,Yes,5,7,7,8,9,7
186,3/24/22 12:29:25,3/24/22 12:32:49,anonymous,,Yes,8,8,8,8,9,9
187,3/24/22 11:43:34,3/24/22 12:40:52,anonymous,,Yes,7,7,8,9,5,4
188,3/24/22 12:53:05,3/24/22 12:57:10,anonymous,,Yes,2,9,8,10,9,8
189,3/24/22 13:42:35,3/24/22 13:45:04,anonymous,,Yes,5,5,8,8,9,8
190,3/24/22 13:45:22,3/24/22 13:47:41,anonymous,,Yes,9,8,7,7,8,8
191,3/24/22 13:47:10,3/24/22 13:51:02,anonymous,,Yes,6,7,8,9,6,8
192,3/24/22 13:57:30,3/24/22 13:59:24,anonymous,,Yes,2,5,9,9,6,5
193,3/24/22 12:36:35,3/24/22 14:03:58,anonymous,,Yes,5,9,8,9,9,9
194,3/24/22 14:03:21,3/24/22 14:06:12,anonymous,,Yes,3,6,7,9,6,4
195,3/24/22 14:03:03,3/24/22 14:07:01,anonymous,,Yes,5,10,7,9,6,6
196,3/24/22 14:35:47,3/24/22 14:37:46,anonymous,,Yes,3,1,8,9,6,5
197,3/24/22 15:01:14,3/24/22 15:04:58,anonymous,,Yes,10,7,8,8,9,8
198,3/24/22 15:22:36,3/24/22 15:25:51,anonymous,,Yes,3,4,8,8,9,8
199,3/24/22 15:23:58,3/24/22 15:27:12,anonymous,,Yes,5,1,8,8,9,8
200,3/24/22 15:26:30,3/24/22 15:27:58,anonymous,,No,1,10,8,8,6,3
201,3/24/22 15:26:39,3/24/22 15:29:02,anonymous,,Yes,5,10,6,8,9,8
202,3/24/22 15:26:39,3/24/22 15:29:32,anonymous,,No,6,10,3,4,7,9
203,3/24/22 15:37:11,3/24/22 15:40:12,anonymous,,No,2,10,8,8,6,5
204,3/24/22 15:40:00,3/24/22 15:43:51,anonymous,,No,1,10,9,10,10,8
205,3/24/22 16:03:05,3/24/22 16:03:58,anonymous,,Yes,1,5,5,7,7,5
206,3/24/22 16:01:14,3/24/22 16:07:53,anonymous,,Yes,7,4,10,10,9,9
207,3/24/22 16:12:56,3/24/22 16:16:07,anonymous,,Yes,5,6,7,9,3,2
208,3/24/22 16:37:46,3/24/22 16:40:20,anonymous,,Yes,6,1,9,9,7,6
209,3/24/22 17:35:59,3/24/22 17:41:52,anonymous,,No,1,10,9,9,10,7
210,3/24/22 22:08:30,3/24/22 22:12:05,anonymous,,No,7,5,8,9,9,9
211,3/24/22 22:15:48,3/24/22 22:17:56,anonymous,,Yes,6,5,9,8,7,5
212,3/24/22 22:16:16,3/24/22 22:18:27,anonymous,,No,6,4,8,9,8,8
213,3/24/22 22:17:17,3/24/22 22:19:58,anonymous,,Yes,6,4,9,9,6,4
214,3/24/22 22:17:08,3/24/22 22:20:19,anonymous,,Yes,8,3,8,7,9,6
215,3/24/22 22:19:32,3/24/22 22:21:21,anonymous,,Yes,2,1,8,8,8,7
216,3/24/22 20:29:41,3/24/22 22:21:22,anonymous,,Yes,1,10,8,9,9,9
217,3/24/22 22:18:00,3/24/22 22:21:49,anonymous,,Yes,3,1,8,9,8,7
218,3/24/22 22:30:52,3/24/22 22:31:44,anonymous,,No,6,5,7,6,5,7
219,3/24/22 22:29:54,3/24/22 22:32:09,anonymous,,No,6,10,8,7,2,2
220,3/24/22 22:55:00,3/24/22 22:58:10,anonymous,,No,5,7,8,8,9,9
221,3/24/22 22:58:21,3/24/22 23:02:13,anonymous,,No,1,10,8,8,8,8
222,3/24/22 23:15:40,3/24/22 23:18:44,anonymous,,No,5,6,8,9,8,6
223,3/24/22 23:15:12,3/24/22 23:20:24,anonymous,,No,1,8,9,9,9,8
224,3/24/22 23:36:08,3/24/22 23:38:39,anonymous,,No,3,10,3,1,1,1
225,3/24/22 23:40:41,3/24/22 23:43:18,anonymous,,No,4,8,8,9,9,9
